Algorithm,Threads,Size,Time
merge,15,2097152,0.026388
merge,15,4194304,0.044434
merge,15,8388608,0.094748
merge,15,16777216,0.176675
merge,15,33554432,0.365173
merge,15,67108864,0.735962
merge,15,134217728,1.60347
merge,16,1,0.000001
merge,16,2,0.000017
merge,16,4,0.00004
merge,16,8,0.00014
merge,16,16,0.000276
merge,16,32,0.000377
merge,16,64,0.000316
merge,16,128,0.000281
merge,16,256,0.000283
merge,16,512,0.000435
merge,16,1024,0.000314
merge,16,2048,0.000355
merge,16,4096,0.000585
merge,16,8192,0.00059
merge,16,16384,0.000713
merge,16,32768,0.001257
merge,16,65536,0.001729
merge,16,131072,0.002906
merge,16,262144,0.007057
merge,16,524288,0.009578
merge,16,1048576,0.014122
merge,16,2097152,0.024257
merge,16,4194304,0.04431
merge,16,8388608,0.084434
merge,16,16777216,0.175796
merge,16,33554432,0.349026
merge,16,67108864,0.75217
merge,16,134217728,1.51265
merge,17,1,0.000001
merge,17,2,0.00002
merge,17,4,0.000079
merge,17,8,0.000143
merge,17,16,0.000354
merge,17,32,0.000323
merge,17,64,0.000321
merge,17,128,0.000321
merge,17,256,0.000353
merge,17,512,0.00049
merge,17,1024,0.000348
merge,17,2048,0.000457
merge,17,4096,0.000472
merge,17,8192,0.000532
merge,17,16384,0.000666
merge,17,32768,0.0012
merge,17,65536,0.002045
merge,17,131072,0.002945
merge,17,262144,0.004095
merge,17,524288,0.010172
merge,17,1048576,0.012703
merge,17,2097152,0.024325
merge,17,4194304,0.046552
merge,17,8388608,0.090745
merge,17,16777216,0.17991
merge,17,33554432,0.354327
merge,17,67108864,0.716649
merge,17,134217728,1.45697
merge,18,1,0.000001
merge,18,2,0.000017
merge,18,4,0.000048
merge,18,8,0.000189
merge,18,16,0.000276
merge,18,32,0.000422
merge,18,64,0.000332
merge,18,128,0.000324
merge,18,256,0.000328
merge,18,512,0.000347
merge,18,1024,0.000349
merge,18,2048,0.000453
merge,18,4096,0.000422
merge,18,8192,0.000671
merge,18,16384,0.000665
merge,18,32768,0.001424
merge,18,65536,0.002182
merge,18,131072,0.002742
merge,18,262144,0.006265
merge,18,524288,0.00773
merge,18,1048576,0.012494
merge,18,2097152,0.022693
merge,18,4194304,0.044074
merge,18,8388608,0.088013
merge,18,16777216,0.176016
merge,18,33554432,0.354115
merge,18,67108864,0.760524
merge,18,134217728,1.559023
merge,19,1,0.000001
merge,19,2,0.000026
merge,19,4,0.000043
merge,19,8,0.000153
merge,19,16,0.000405
merge,19,32,0.000542
merge,19,64,0.000539
merge,19,128,0.000375
merge,19,256,0.000409
merge,19,512,0.000539
merge,19,1024,0.000574
merge,19,2048,0.000461
merge,19,4096,0.00058
merge,19,8192,0.000595
merge,19,16384,0.001074
merge,19,32768,0.001199
merge,19,65536,0.002089
merge,19,131072,0.004031
merge,19,262144,0.006008
merge,19,524288,0.007631
merge,19,1048576,0.013345
merge,19,2097152,0.023917
merge,19,4194304,0.044693
merge,19,8388608,0.093215
merge,19,16777216,0.177223
merge,19,33554432,0.359823
merge,19,67108864,0.730589
merge,19,134217728,1.51837
merge,20,1,0
merge,20,2,0.000017
merge,20,4,0.00005
merge,20,8,0.000127
merge,20,16,0.000317
merge,20,32,0.000366
merge,20,64,0.000388
merge,20,128,0.000364
merge,20,256,0.000369
merge,20,512,0.000353
merge,20,1024,0.000409
merge,20,2048,0.000501
merge,20,4096,0.000628
merge,20,8192,0.00067
merge,20,16384,0.001033
merge,20,32768,0.001318
merge,20,65536,0.001882
merge,20,131072,0.003614
merge,20,262144,0.004674
merge,20,524288,0.007637
merge,20,1048576,0.013075
merge,20,2097152,0.025317
merge,20,4194304,0.046947
merge,20,8388608,0.09218
merge,20,16777216,0.173327
merge,20,33554432,0.367454
merge,20,67108864,0.732429
merge,20,134217728,1.538686
merge,21,1,0.000001
merge,21,2,0.000022
merge,21,4,0.000047
merge,21,8,0.000121
merge,21,16,0.000275
merge,21,32,0.000384
merge,21,64,0.000385
merge,21,128,0.000456
merge,21,256,0.000425
merge,21,512,0.000404
merge,21,1024,0.000417
merge,21,2048,0.000394
merge,21,4096,0.000484
merge,21,8192,0.000592
merge,21,16384,0.000831
merge,21,32768,0.001395
merge,21,65536,0.002072
merge,21,131072,0.003207
merge,21,262144,0.005907
merge,21,524288,0.010056
merge,21,1048576,0.015339
merge,21,2097152,0.026718
merge,21,4194304,0.048347
merge,21,8388608,0.087466
merge,21,16777216,0.182638
merge,21,33554432,0.372074
merge,21,67108864,0.753184
merge,21,134217728,1.564844
merge,22,1,0.000001
merge,22,2,0.000017
merge,22,4,0.000081
merge,22,8,0.000142
merge,22,16,0.001035
merge,22,32,0.00047
merge,22,64,0.000585
merge,22,128,0.000402
merge,22,256,0.000408
merge,22,512,0.000408
merge,22,1024,0.000407
merge,22,2048,0.000553
merge,22,4096,0.000579
merge,22,8192,0.000731
merge,22,16384,0.000899
merge,22,32768,0.001314
merge,22,65536,0.002505
merge,22,131072,0.00358
merge,22,262144,0.005679
merge,22,524288,0.009093
merge,22,1048576,0.015546
merge,22,2097152,0.023044
merge,22,4194304,0.046478
merge,22,8388608,0.089873
merge,22,16777216,0.179864
merge,22,33554432,0.36061
merge,22,67108864,0.727426
merge,22,134217728,1.579984
merge,23,1,0.000001
merge,23,2,0.000023
merge,23,4,0.000045
merge,23,8,0.000148
merge,23,16,0.000418
merge,23,32,0.000547
merge,23,64,0.000392
merge,23,128,0.000576
merge,23,256,0.000652
merge,23,512,0.000641
merge,23,1024,0.000657
merge,23,2048,0.000656
merge,23,4096,0.001047
merge,23,8192,0.000747
merge,23,16384,0.000909
merge,23,32768,0.001448
merge,23,65536,0.002198
merge,23,131072,0.003611
merge,23,262144,0.00575
merge,23,524288,0.009354
merge,23,1048576,0.015834
merge,23,2097152,0.025002
merge,23,4194304,0.045107
merge,23,8388608,0.091031
merge,23,16777216,0.176576
merge,23,33554432,0.369955
merge,23,67108864,0.74566
merge,23,134217728,1.540763
merge,24,1,0.000001
merge,24,2,0.000017
merge,24,4,0.000047
merge,24,8,0.000184
merge,24,16,0.000278
merge,24,32,0.000624
merge,24,64,0.000645
merge,24,128,0.000438
merge,24,256,0.000614
merge,24,512,0.00055
merge,24,1024,0.000484
merge,24,2048,0.000592
merge,24,4096,0.000782
merge,24,8192,0.000573
merge,24,16384,0.000842
merge,24,32768,0.00121
merge,24,65536,0.002038
merge,24,131072,0.003454
merge,24,262144,0.004678
merge,24,524288,0.008172
merge,24,1048576,0.014213
merge,24,2097152,0.02529
merge,24,4194304,0.049259
merge,24,8388608,0.089333
merge,24,16777216,0.176435
merge,24,33554432,0.365171
merge,24,67108864,0.739419
merge,24,134217728,1.542587
merge,25,1,0
merge,25,2,0
merge,25,4,0
merge,25,8,0
merge,25,16,0
merge,25,32,0
merge,25,64,0
merge,25,128,0
merge,25,256,0
merge,25,512,0
merge,25,1025,0
merge,25,2048,0
merge,25,4096,0
merge,25,8192,0
merge,25,16384,0
merge,25,32768,0
merge,25,65536,0
merge,25,131072,0
merge,25,262144,0
merge,25,524288,0
merge,25,1048576,0
merge,25,2097152,0
merge,25,4194304,0
merge,25,8388608,0
merge,25,16777216,0
merge,25,33554432,0
merge,25,67108864,1
merge,25,134217728,2
