Algorithm,Threads,Size,Time
bitonic,12,128,0.000263
bitonic,12,256,0.000278
bitonic,12,512,0.000325
bitonic,12,1024,0.000391
bitonic,12,2048,0.000616
bitonic,12,4096,0.000697
bitonic,12,8192,0.001841
bitonic,12,16384,0.002797
bitonic,12,32768,0.005036
bitonic,12,65536,0.009341
bitonic,12,131072,0.016417
bitonic,12,262144,0.028772
bitonic,12,524288,0.056821
bitonic,12,1048576,0.115565
bitonic,12,2097152,0.234645
bitonic,12,4194304,0.501024
bitonic,12,8388608,1.157375
bitonic,12,16777216,2.337341
bitonic,12,33554432,4.730309
bitonic,12,67108864,9.654193
bitonic,12,134217728,19.537015
bitonic,13,1,0.000329
bitonic,13,2,0.000257
bitonic,13,4,0.000288
bitonic,13,8,0.000257
bitonic,13,16,0.0003
bitonic,13,32,0.00026
bitonic,13,64,0.000281
bitonic,13,128,0.000292
bitonic,13,256,0.00034
bitonic,13,512,0.000359
bitonic,13,1024,0.000442
bitonic,13,2048,0.000753
bitonic,13,4096,0.001073
bitonic,13,8192,0.001364
bitonic,13,16384,0.003059
bitonic,13,32768,0.007292
bitonic,13,65536,0.011542
bitonic,13,131072,0.021405
bitonic,13,262144,0.040971
bitonic,13,524288,0.077292
bitonic,13,1048576,0.159412
bitonic,13,2097152,0.322575
bitonic,13,4194304,0.668965
bitonic,13,8388608,1.335484
bitonic,13,16777216,2.698023
bitonic,13,33554432,5.57941
bitonic,13,67108864,11.075796
bitonic,13,134217728,22.490478
bitonic,14,1,0.000056
bitonic,14,2,0.000029
bitonic,14,4,0.00003
bitonic,14,8,0.000321
bitonic,14,16,0.000298
bitonic,14,32,0.000301
bitonic,14,64,0.000291
bitonic,14,128,0.000314
bitonic,14,256,0.000334
bitonic,14,512,0.000387
bitonic,14,1024,0.000532
bitonic,14,2048,0.0006
bitonic,14,4096,0.001316
bitonic,14,8192,0.001857
bitonic,14,16384,0.003392
bitonic,14,32768,0.007001
bitonic,14,65536,0.011917
bitonic,14,131072,0.023932
bitonic,14,262144,0.042956
bitonic,14,524288,0.084547
bitonic,14,1048576,0.185262
bitonic,14,2097152,0.354119
bitonic,14,4194304,0.722613
bitonic,14,8388608,1.466399
bitonic,14,16777216,2.994168
bitonic,14,33554432,6.082325
bitonic,14,67108864,11.928273
bitonic,14,134217728,24.243504
bitonic,15,1,0.000369
bitonic,15,2,0.000329
bitonic,15,4,0.000302
bitonic,15,8,0.000289
bitonic,15,16,0.000289
bitonic,15,32,0.000306
bitonic,15,64,0.000314
bitonic,15,128,0.000334
bitonic,15,256,0.000371
bitonic,15,512,0.000377
bitonic,15,1024,0.000481
bitonic,15,2048,0.000894
bitonic,15,4096,0.001529
bitonic,15,8192,0.002407
bitonic,15,16384,0.003972
bitonic,15,32768,0.008238
bitonic,15,65536,0.012779
bitonic,15,131072,0.024192
bitonic,15,262144,0.050656
bitonic,15,524288,0.093974
bitonic,15,1048576,0.201855
bitonic,15,2097152,0.406514
bitonic,15,4194304,0.807284
bitonic,15,8388608,1.624772
bitonic,15,16777216,3.24609
bitonic,15,33554432,6.518756
bitonic,15,67108864,13.679484
bitonic,15,134217728,26.743319
bitonic,16,1,0.000051
bitonic,16,2,0.000024
bitonic,16,4,0.00002
bitonic,16,8,0.000018
bitonic,16,16,0.000341
bitonic,16,32,0.000318
bitonic,16,64,0.0003
bitonic,16,128,0.000327
bitonic,16,256,0.000344
bitonic,16,512,0.000356
bitonic,16,1024,0.000395
