Algorithm,Threads,Size,Time
basic,12,262144,0.002887
basic,12,524288,0.00607
basic,12,1048576,0.012884
basic,12,2097152,0.026857
basic,12,4194304,0.056596
basic,12,8388608,0.117246
basic,12,16777216,0.248038
basic,12,33554432,0.514032
basic,12,67108864,1.080285
basic,12,134217728,2.233921
basic,13,1,0
basic,13,2,0
basic,13,4,0
basic,13,8,0.000001
basic,13,16,0
basic,13,32,0.000001
basic,13,64,0.000001
basic,13,128,0.000001
basic,13,256,0.000003
basic,13,512,0.000005
basic,13,1024,0.000011
basic,13,2048,0.000022
basic,13,4096,0.000041
basic,13,8192,0.000074
basic,13,16384,0.000146
basic,13,32768,0.000302
basic,13,65536,0.000639
basic,13,131072,0.001361
basic,13,262144,0.002863
basic,13,524288,0.006022
basic,13,1048576,0.012667
basic,13,2097152,0.026511
basic,13,4194304,0.056596
basic,13,8388608,0.11894
basic,13,16777216,0.24539
basic,13,33554432,0.509362
basic,13,67108864,1.076611
basic,13,134217728,2.245632
basic,14,1,0.000001
basic,14,2,0.000001
basic,14,4,0
basic,14,8,0
basic,14,16,0.000001
basic,14,32,0.000001
basic,14,64,0.000001
basic,14,128,0.000001
basic,14,256,0.000002
basic,14,512,0.000005
basic,14,1024,0.000011
basic,14,2048,0.000023
basic,14,4096,0.000035
basic,14,8192,0.000075
basic,14,16384,0.000144
basic,14,32768,0.000303
basic,14,65536,0.000642
basic,14,131072,0.001414
basic,14,262144,0.002894
basic,14,524288,0.006086
basic,14,1048576,0.01312
basic,14,2097152,0.026921
basic,14,4194304,0.055834
basic,14,8388608,0.118548
basic,14,16777216,0.24408
basic,14,33554432,0.512803
basic,14,67108864,1.062949
basic,14,134217728,2.256596
basic,15,1,0.000001
basic,15,2,0
basic,15,4,0
basic,15,8,0
basic,15,16,0
basic,15,32,0
basic,15,64,0.000001
basic,15,128,0.000001
basic,15,256,0.000002
basic,15,512,0.000004
basic,15,1024,0.000008
basic,15,2048,0.000015
basic,15,4096,0.000031
basic,15,8192,0.000067
basic,15,16384,0.000141
basic,15,32768,0.000317
basic,15,65536,0.000641
basic,15,131072,0.001686
basic,15,262144,0.002851
basic,15,524288,0.006025
basic,15,1048576,0.012667
basic,15,2097152,0.027065
basic,15,4194304,0.056258
basic,15,8388608,0.11678
basic,15,16777216,0.248717
basic,15,33554432,0.509536
basic,15,67108864,1.06008
basic,15,134217728,2.207709
basic,16,1,0.000001
basic,16,2,0.000001
basic,16,4,0.000001
basic,16,8,0
basic,16,16,0
basic,16,32,0
basic,16,64,0.000001
basic,16,128,0.000001
basic,16,256,0.000002
basic,16,512,0.000004
basic,16,1024,0.000007
basic,16,2048,0.000015
basic,16,4096,0.000031
basic,16,8192,0.000067
basic,16,16384,0.000141
basic,16,32768,0.0003
basic,16,65536,0.000639
basic,16,131072,0.001357
basic,16,262144,0.002858
basic,16,524288,0.006074
basic,16,1048576,0.013192
basic,16,2097152,0.026579
basic,16,4194304,0.056558
basic,16,8388608,0.116851
basic,16,16777216,0.247232
basic,16,33554432,0.512182
basic,16,67108864,1.061042
basic,16,134217728,2.226472
basic,17,1,0.000001
basic,17,2,0.000001
basic,17,4,0.000001
basic,17,8,0.000001
basic,17,16,0
basic,17,32,0
basic,17,64,0.000001
basic,17,128,0
basic,17,256,0.000002
basic,17,512,0.000003
basic,17,1024,0.000007
basic,17,2048,0.000015
basic,17,4096,0.000031
basic,17,8192,0.000066
basic,17,16384,0.000142
basic,17,32768,0.000327
basic,17,65536,0.000672
basic,17,131072,0.001355
basic,17,262144,0.002947
basic,17,524288,0.006099
basic,17,1048576,0.01284
basic,17,2097152,0.02672
basic,17,4194304,0.056566
basic,17,8388608,0.121686
basic,17,16777216,0.247147
basic,17,33554432,0.519578
basic,17,67108864,1.061171
basic,17,134217728,2.236926
basic,18,1,0
basic,18,2,0.000001
basic,18,4,0
basic,18,8,0.000001
basic,18,16,0
basic,18,32,0.000001
basic,18,64,0
basic,18,128,0.000002
basic,18,256,0.000002
basic,18,512,0.000004
basic,18,1024,0.000007
basic,18,2048,0.000015
basic,18,4096,0.000031
basic,18,8192,0.000066
basic,18,16384,0.000144
basic,18,32768,0.0003
basic,18,65536,0.000639
basic,18,131072,0.001387
basic,18,262144,0.002877
basic,18,524288,0.006109
basic,18,1048576,0.013945
basic,18,2097152,0.026714
basic,18,4194304,0.055836
basic,18,8388608,0.117392
basic,18,16777216,0.251979
basic,18,33554432,0.519949
basic,18,67108864,1.083312
basic,18,134217728,2.221049
basic,19,1,0.000002
basic,19,2,0.000001
basic,19,4,0
basic,19,8,0
basic,19,16,0
basic,19,32,0
basic,19,64,0.000001
basic,19,128,0.000001
basic,19,256,0.000002
basic,19,512,0.000003
basic,19,1024,0.000006
basic,19,2048,0.000015
basic,19,4096,0.000031
basic,19,8192,0.000067
basic,19,16384,0.000141
basic,19,32768,0.0003
basic,19,65536,0.000641
basic,19,131072,0.001394
basic,19,262144,0.002955
basic,19,524288,0.006104
basic,19,1048576,0.012935
basic,19,2097152,0.02723
basic,19,4194304,0.056064
basic,19,8388608,0.118408
basic,19,16777216,0.244091
basic,19,33554432,0.509624
basic,19,67108864,1.063222
basic,19,134217728,2.21759
basic,20,1,0.000001
basic,20,2,0
basic,20,4,0
basic,20,8,0
basic,20,16,0.000001
basic,20,32,0
basic,20,64,0
basic,20,128,0.000001
basic,20,256,0.000002
basic,20,512,0.000003
basic,20,1024,0.000007
basic,20,2048,0.000015
basic,20,4096,0.000031
basic,20,8192,0.000067
basic,20,16384,0.000141
basic,20,32768,0.000322
basic,20,65536,0.000638
basic,20,131072,0.001351
basic,20,262144,0.002854
basic,20,524288,0.00602
basic,20,1048576,0.012649
basic,20,2097152,0.026513
basic,20,4194304,0.056807
basic,20,8388608,0.117258
basic,20,16777216,0.244074
basic,20,33554432,0.509427
basic,20,67108864,1.073209
basic,20,134217728,2.205493
basic,21,1,0.000001
basic,21,2,0
basic,21,4,0
basic,21,8,0
basic,21,16,0.000001
basic,21,32,0
basic,21,64,0.000001
basic,21,128,0.000001
basic,21,256,0.000002
basic,21,512,0.000003
basic,21,1024,0.000007
basic,21,2048,0.000015
basic,21,4096,0.000032
basic,21,8192,0.000066
basic,21,16384,0.000193
basic,21,32768,0.000306
basic,21,65536,0.000637
basic,21,131072,0.0014
basic,21,262144,0.002857
basic,21,524288,0.006021
basic,21,1048576,0.012659
basic,21,2097152,0.026593
basic,21,4194304,0.055796
basic,21,8388608,0.11681
basic,21,16777216,0.250399
basic,21,33554432,0.509528
basic,21,67108864,1.069892
